movie_title,release_date,rating,runtime
Snow White and the Seven Dwarfs,21-Dec-37,7.6,83
Pinocchio,7-Feb-40,7.4,88
Fantasia,13-Nov-40,7.8,126
Dumbo,23-Oct-41,7.2,64
Bambi,13-Aug-42,7.3,70
Saludos Amigos,6-Feb-43,6.2,42
The Three Caballeros,3-Feb-45,6.5,71
Make Mine Music,20-Apr-46,6.3,75
Fun and Fancy Free,27-Sep-47,6.6,73
Melody Time,27-May-48,6.4,75
The Adventures of Ichabod and Mr Toad,5-Oct-49,7,68
Cinderella,15-Feb-50,7.3,75
Alice in Wonderland,28-Jul-51,7.4,75
Peter Pan,5-Feb-53,7.3,76
Lady and the Tramp,22-Jun-55,7.3,76
Sleeping Beauty,29-Jan-59,7.2,75
One Hundred and One Dalmatians,25-Jan-61,7.2,79
The Sword in the Stone,25-Dec-63,7.2,79
The Jungle Book,18-Oct-67,7.6,78
The Aristocats,24-Dec-70,7.1,79
Robin Hood,8-Nov-73,7.6,83
The Many Adventures of Winnie the Pooh,11-Mar-77,7.6,74
The Rescuers,22-Jun-77,6.9,77
The Fox and the Hound,10-Jul-81,7.3,83
The Black Cauldron,24-Jul-85,6.4,80
The Great Mouse Detective,2-Jul-86,7.2,74
Oliver & Company,18-Nov-88,6.7,74
The Little Mermaid,17-Nov-89,7.6,83
The Rescuers Down Under,16-Nov-90,6.9,77
Beauty and the Beast,22-Nov-91,8,84
Aladdin,25-Nov-92,8,90
The Lion King,24-Jun-94,8.5,88
Pocahontas,23-Jun-95,6.7,81
Toy Story,22-Nov-95,8.3,91
The Hunchback of Notre Dame,21-Jun-96,6.9,93
Hercules,27-Jun-97,7.3,87
Mulan,19-Jun-98,7.6,88
A Bug's Life,25-Nov-98,7.2,74
Tarzan,18-Jun-99,7.3,82
Toy Story 2,24-Nov-99,7.9,78
Fantasia 2000,1-Jan-00,7.2,96
Dinosaur,19-May-00,6.5,85
The Emperor's New Groove,15-Dec-00,7.3,95
Atlantis: The Lost Empire,15-Jun-01,6.9,85
"Monsters, Inc.",2-Nov-01,8,76
Lilo & Stitch,21-Jun-02,7.2,81
Treasure Planet,27-Nov-02,7.2,94
Finding Nemo,30-May-03,8.1,96
Brother Bear,1-Nov-03,6.8,97
Home on the Range,2-Apr-04,5.3,100
The Incredibles,5-Nov-04,8,63
Chicken Little,4-Nov-05,5.7,101
Cars,9-Jun-06,7.1,102
Meet the Robinsons,30-Mar-07,6.8,102
Ratatouille,29-Jun-07,8,108
WALL-E,27-Jun-08,8.4,107
Bolt,21-Nov-08,6.8,81
Up,29-May-09,8.2,95
The Princess and the Frog,11-Dec-09,7.1,92
Toy Story 3,18-Jun-10,8.3,92
Tangled,24-Nov-10,7.7,100
Cars 2,24-Jun-11,6.1,115
Winnie the Pooh,15-Jul-11,7.2,116
Brave,22-Jun-12,7.1,111
Wreck-It Ralph,2-Nov-12,7.7,97
Monsters University,21-Jun-13,7.3,96
Frozen,27-Nov-13,7.5,103
Big Hero 6,7-Nov-14,7.8,106
Inside Out,19-Jun-15,8.2,93
The Good Dinosaur,25-Nov-15,6.7,104
Zootopia,4-Mar-16,8,94
Finding Dory,17-Jun-16,7.3,94
Moana,23-Nov-16,7.6,97
