character,voice-actor,movie,Award,image
Roger Radcliffe,Ben Wright,101 Dalmatians,,./images/character/Roger Radcliffe
Cruella de Vil,Betty Lou Gerson,101 Dalmatians,,./images/character/Cruella de Vil
Perdita,Cate Bauer,101 Dalmatians,,./images/character/Perdita
Sgt Tibbs,David Frankham,101 Dalmatians,,./images/character/Sgt Tibbs
Jasper,J. Pat O'Malley,101 Dalmatians,,./images/character/Jasper
Horace,Frederick Worlock,101 Dalmatians,,./images/character/Horace
The Colonel,J. Pat O'Malley,101 Dalmatians,,./images/character/The Colonel
Anita Radcliffe,Lisa Davis,101 Dalmatians,,./images/character/Anita Radcliffe
Pongo,Rod Taylor,101 Dalmatians,,./images/character/Pongo
Rolly,Barbara Beaird,101 Dalmatians,,./images/character/Rolly
Nanny,Martha Wentworth,101 Dalmatians,,./images/character/Nanny
Patch,Mickey Maga,101 Dalmatians,,./images/character/Patch
Lucky,Mimi Gibson,101 Dalmatians,,./images/character/Lucky
Penny,Sandra Abbott,101 Dalmatians,,./images/character/Penny
Flik,Dave Foley,A Bug's Life,,./images/character/Flik
Dot,Hayden Panettiere,A Bug's Life,,./images/character/Dot
Princess Atta,Julia Louis-Dreyfus,A Bug's Life,,./images/character/Princess Atta
Hopper,Kevin Spacey,A Bug's Life,1995:Actor in a Supporting Role:The Usual Suspects;1999:Actor in a Leading Role:American Beauty,./images/character/Hopper
Queen,Phyllis Diller,A Bug's Life,,./images/character/Queen
Roxanne,Kellie Martin,A Goofy Movie,,./images/character/Roxanne
Bobby Zimmeruski,Pauly Shore,A Goofy Movie,,"./images/character/Robert ""Bobby"" Zimmeruski"
Powerline,Tevin Campbell,A Goofy Movie,,./images/character/Powerline
Principal Mazur,Wallace Shawn,A Goofy Movie,,./images/character/Principal Mazur
Max,Jason Marsden,A Goofy Movie,,./images/character/Max
Goofy Goof,Bill Farmer,A Goofy Movie,,./images/character/Goofy Goof
The Sultan,Douglas Seale,Aladdin,,./images/character/The Sultan
Abu,Frank Welker,Aladdin,,./images/character/Abu
Rajah,Frank Welker,Aladdin,,./images/character/Rajah
Iago,Gilbert Gottfried,Aladdin,,./images/character/Iago
Razoul,Jim Cummings,Aladdin,,./images/character/Razoul
Jafar,Jonathan Freeman,Aladdin,,./images/character/Jafar
Princess Jasmine,Linda Larkin,Aladdin,,./images/character/Princess Jasmine
Genie,Robin Williams,Aladdin,1997:Actor in a Supporting Role:Good Will Hunting,./images/character/Genie
Aladdin,Scott Weinger,Aladdin,,./images/character/Aladdin
The Dodo,Bill Thompson,Alice in Wonderland,,./images/character/The Dodo
White Rabbit,Bill Thompson,Alice in Wonderland,,./images/character/White Rabbit
The King of Hearts,Dink Trout,Alice in Wonderland,,./images/character/The King of Hearts
The Rose,Doris Lloyd,Alice in Wonderland,,./images/character/The Rose
Mad Hatter,Ed Wynn,Alice in Wonderland,,./images/character/Mad Hatter
Alice's Sister,Heather Angel,Alice in Wonderland,,./images/character/Alice's Sister
The Carpenter,J. Pat O'Malley,Alice in Wonderland,,./images/character/The Carpenter
Tweedledum and Tweedledee,J. Pat O'Malley,Alice in Wonderland,,./images/character/Tweedledum and Tweedledee
The Walrus,J. Pat O'Malley,Alice in Wonderland,,./images/character/The Walrus
March Hare,Jerry Colonna,Alice in Wonderland,,./images/character/March Hare
The Dormouse,Jimmy MacDonald,Alice in Wonderland,,./images/character/The Dormouse
The Doorknob,Joseph Kearns,Alice in Wonderland,,./images/character/The Doorknob
Alice,Kathryn Beaumont,Alice in Wonderland,,./images/character/Alice
Bill the Lizard,Larry Grey,Alice in Wonderland,,./images/character/Bill the Lizard
The Caterpillar,Richard Haydn,Alice in Wonderland,,./images/character/The Caterpillar
Cheshire Cat,Sterling Holloway,Alice in Wonderland,,./images/character/Cheshire Cat
The Queen of Hearts,Verna Felton,Alice in Wonderland,,./images/character/The Queen of Hearts
Helga Sinclair,Claudia Christian,Atlantis: The Lost Empire,,./images/character/Helga Sinclair
Gaetan 'Mole' Moliere,Corey Burton,Atlantis: The Lost Empire,,./images/character/Gaetan Mole Moliere
Princess Kidagakash,Cree Summer,Atlantis: The Lost Empire,,./images/character/Princess Kidagakash
Vincenzo 'Vinny' Santorini,Don Novello,Atlantis: The Lost Empire,,"./images/character/Vincenzo ""Vinny"" Santorini"
Audrey Ramirez,Jacqueline Obradors,Atlantis: The Lost Empire,,./images/character/Audrey Ramirez
Commander Lyle Rourke,James Garner,Atlantis: The Lost Empire,,./images/character/Commander Lyle Rourke
Cookie,Jim Varney,Atlantis: The Lost Empire,,./images/character/Cookie
Preston B Whitmore,John Mahoney,Atlantis: The Lost Empire,,./images/character/Preston B. Whitmore
King Kashekim Nedakh,Leonard Nimoy,Atlantis: The Lost Empire,,./images/character/King Kashekim Nedakh
Milo Thatch,Michael J. Fox,Atlantis: The Lost Empire,,./images/character/Milo Thatch
Dr Joshua Sweet,Phil Morris,Atlantis: The Lost Empire,,./images/character/Dr Joshua Sweet
Faline,Ann Gillis,Bambi,,./images/character/Faline
Bambi,Donnie Dunagan,Bambi,,./images/character/Bambi
Great Prince of the Forest,Fred Shields,Bambi,,./images/character/Great Prince of the Forest
Bambi,Hardie Albright,Bambi,,./images/character/Bambi
Thumper's Mother,Margaret Lee,Bambi,,./images/character/Thumper's Mother
Mrs Possum,Mary Lansing,Bambi,,./images/character/Mrs. Possum
Bambi's Mother,Paula Winslowe,Bambi,,./images/character/Bambi's Mother
Thumper,Sam Edwards,Bambi,,./images/character/Thumper
Flower,Sterling Holloway,Bambi,,./images/character/Flower
Friend Owl,Will Wright,Bambi,,./images/character/Friend Owl
Mrs Potts,Angela Lansbury,Beauty and the Beast,2013:Honorary Award:nan,./images/character/Mrs Potts
Chip Potts,Bradley Michael Pierce,Beauty and the Beast,,./images/character/Chip Potts
Cogsworth,David Ogden Stiers,Beauty and the Beast,,./images/character/Cogsworth
Sultan the Footstool,Frank Welker,Beauty and the Beast,,./images/character/Sultan the Footstool
Philippe the Horse,Hal Smith,Beauty and the Beast,,./images/character/Philippe the Horse
Lumiere,Jerry Orbach,Beauty and the Beast,,./images/character/Lumi??re
Le Fou,Jesse Corti,Beauty and the Beast,,./images/character/Le Fou
Armoire,Jo Anne Worley,Beauty and the Beast,,./images/character/Armoire
Fifi the Featherduster,Kimmy Robertson,Beauty and the Beast,,./images/character/Fifi the Featherduster
Belle,Paige O'Hara,Beauty and the Beast,,./images/character/Belle
Maurice,Rex Everhart,Beauty and the Beast,,./images/character/Maurice
Gaston,Richard White,Beauty and the Beast,,./images/character/Gaston
Beast,Robby Benson,Beauty and the Beast,,./images/character/Beast
Tadashi Hamada,Daniel Henney,Big Hero 6,,./images/character/Tadashi Hamada
Baymax,Scott Adsit,Big Hero 6,,./images/character/Baymax
Hiro,Ryan Potter,Big Hero 6,,./images/character/Hiro
Fred,T.J. Miller,Big Hero 6,,./images/character/Fred
Go Go,Jamie Chung,Big Hero 6,,./images/character/Go Go
Wasabi,Damon Wayans Jr,Big Hero 6,,./images/character/Wasabi
Honey Lemon,Genesis Rodriguez,Big Hero 6,,./images/character/Honey Lemon
Robert Callaghan,James Cromwell,Big Hero 6,,./images/character/Robert Callaghan
Alistair Krei,Alan Tudyk,Big Hero 6,,./images/character/Alistair Krei
Cass,Maya Rudolph,Big Hero 6,,./images/character/Cass
Bolt,John Travolta,Bolt,,./images/character/Bolt
Dr Calico,Malcolm McDowell,Bolt,,./images/character/Dr. Calico
Rhino,Mark Walton,Bolt,,./images/character/Rhino
Penny,Miley Cyrus,Bolt,,./images/character/Penny
Mittens,Susie Essman,Bolt,,./images/character/Mittens
King Fergus,Billy Connolly,Brave,,./images/character/King Fergus
Queen Elinor,Emma Thompson,Brave,1992:Actress in a Leading Role:Howards End;1995:Writing (Screenplay Based on Material Previously Produced or Published):Sense and Sensibility ,./images/character/Queen Elinor
The Witch,Julie Walters,Brave,,./images/character/The Witch
Merida,Kelly Mcdonald,Brave,,./images/character/Merida
Lord Dingwall,Robbie Coltrane,Brave,,./images/character/Lord Dingwall
Lord MacGuffin,Kevin McKidd,Brave,,./images/character/Lord MacGuffin
Lord Macintosh,Craigh Ferguson,Brave,,./images/character/Lord Macintosh
Sitka,D. B. Sweeney,Brother Bear,,./images/character/Sitka
Denahi,Jason Raize,Brother Bear,,./images/character/Denahi
Koda,Jeremy Suarez,Brother Bear,,./images/character/Koda
Tanana,Joan Copeland,Brother Bear,,./images/character/Tanana
Kenai,Joaquin Phoenix,Brother Bear,,./images/character/Kenai
Tuke,Dave Thomas,Brother Bear,,./images/character/Tuke
Rutt,Rick Moranis,Brother Bear,,./images/character/Rutt
Sally Carrera,Bonnie Hunt,Cars,,./images/character/Sally Carrera
Mater,Larry the Cable Guy,Cars,,./images/character/Mater
Lightning McQueen,Owen Wilson,Cars,,./images/character/Lightning McQueen
Doc Hudson,Paul Newman,Cars,1985:Honorary Award;1986:Actor in a Leading Role:The Color of Money;1993:Jean Hersholt Humanitarian Award,./images/character/Doc Hudson
Luigi,Tony Shalhoub,Cars,,./images/character/Luigi
Holley Shiftwell,Emily Mortimer,Cars 2,,./images/character/Holley Shiftwell
Francesco Bernoulli,John Turturro,Cars 2,,./images/character/Francesco Bernoulli
Mater,Larry the Cable Guy,Cars 2,,./images/character/Mater
Finn McMissile,Michael Caine,Cars 2,1986:Actor in a Supporting Role:Hannah and Her Sisters;1999:Actor in a Supporting Role:The Cider House Rules,./images/character/Finn McMissile
Lightning McQueen,Owen Wilson,Cars 2,,./images/character/Lightning McQueen
Foxy Loxy,Amy Sedaris,Chicken Little,,./images/character/Foxy Loxy
Tina,Catherine O'Hara,Chicken Little,,./images/character/Tina
Fish Out of Water,Dan Molina,Chicken Little,,./images/character/Fish Out of Water
Turkey Lurkey,Don Knotts,Chicken Little,,./images/character/Turkey Lurkey
Melvin,Fred Willard,Chicken Little,,./images/character/Melvin
Buck Cluck,Garry Marshall,Chicken Little,,./images/character/Buck Cluck
Abby Mallard,Joan Cusack,Chicken Little,,./images/character/Abby Mallard
