character,voice-actor,movie
Roger Radcliffe,Ben Wright,101 Dalmatians
Cruella de Vil,Betty Lou Gerson,101 Dalmatians
Perdita,Cate Bauer,101 Dalmatians
Sgt. Tibbs,David Frankham,101 Dalmatians
Jasper,J. Pat O'Malley,101 Dalmatians
Horace,Frederick Worlock,101 Dalmatians
The Colonel,J. Pat O'Malley,101 Dalmatians
Anita Radcliffe,Lisa Davis,101 Dalmatians
Pongo,Rod Taylor,101 Dalmatians
Rolly,Barbara Beaird,101 Dalmatians
Duchess,Marjorie Bennett,101 Dalmatians
Nanny,Martha Wentworth,101 Dalmatians
Patch,Mickey Maga,101 Dalmatians
Lucky,Mimi Gibson,101 Dalmatians
Princess,Queenie Leonard,101 Dalmatians
Penny,Sandra Abbott,101 Dalmatians
The Captain,Thurl Ravenscroft,101 Dalmatians
Flik,Dave Foley,A Bug's Life
Dot,Hayden Panettiere,A Bug's Life
Princess Atta,Julia Louis-Dreyfus,A Bug's Life
Hopper,Kevin Spacey,A Bug's Life
Queen,Phyllis Diller,A Bug's Life
Roxanne,Kellie Martin,A Goofy Movie
"Robert ""Bobby"" Zimmeruski",Pauly Shore,A Goofy Movie
Powerline,Tevin Campbell,A Goofy Movie
Principal Mazur,Wallace Shawn,A Goofy Movie
Mechanicles,Charlie Adler,Aladdin
The Sultan,Douglas Seale,Aladdin
Abu,Frank Welker,Aladdin
Rajah,Frank Welker,Aladdin
Iago,Gilbert Gottfried,Aladdin
Haroud Hazi Bin,James Avery,Aladdin
Razoul,Jim Cummings,Aladdin
Mozenrath,Jonathan Brandis,Aladdin
Jafar,Jonathan Freeman,Aladdin
Sadira,Kellie Martin,Aladdin
Princess Jasmine,Linda Larkin,Aladdin
Genie,Robin Williams,Aladdin
Aladdin,Scott Weinger,Aladdin
The Dodo,Bill Thompson,Alice in Wonderland
White Rabbit,Bill Thompson,Alice in Wonderland
The King of Hearts,Dink Trout,Alice in Wonderland
The Rose,Doris Lloyd,Alice in Wonderland
Mad Hatter,Ed Wynn,Alice in Wonderland
Alice's Sister,Heather Angel,Alice in Wonderland
The Carpenter,J. Pat O'Malley,Alice in Wonderland
Tweedledum and Tweedledee,J. Pat O'Malley,Alice in Wonderland
The Walrus,J. Pat O'Malley,Alice in Wonderland
March Hare,Jerry Colonna,Alice in Wonderland
The Dormouse,Jimmy MacDonald,Alice in Wonderland
The Doorknob,Joseph Kearns,Alice in Wonderland
Alice,Kathryn Beaumont,Alice in Wonderland
Bill the Lizard,Larry Grey,Alice in Wonderland
The Caterpillar,Richard Haydn,Alice in Wonderland
Cheshire Cat,Sterling Holloway,Alice in Wonderland
The Queen of Hearts,Verna Felton,Alice in Wonderland
Helga Sinclair,Claudia Christian,Atlantis: The Lost Empire
"Gaetan ""Mole"" MoliŠre",Corey Burton,Atlantis: The Lost Empire
Princess Kidagakash,Cree Summer,Atlantis: The Lost Empire
Fenton Q. Harcourt,David Ogden Stiers,Atlantis: The Lost Empire
"Vincenzo ""Vinny"" Santorini",Don Novello,Atlantis: The Lost Empire
Wilhelmina Packard,Florence Stanley,Atlantis: The Lost Empire
Audrey Ramirez,Jacqueline Obradors,Atlantis: The Lost Empire
Commander Lyle Rourke,James Garner,Atlantis: The Lost Empire
Cookie,Jim Varney,Atlantis: The Lost Empire
Preston B. Whitmore,John Mahoney,Atlantis: The Lost Empire
King Kashekim Nedakh,Leonard Nimoy,Atlantis: The Lost Empire
Milo Thatch,Michael J. Fox,Atlantis: The Lost Empire
Dr. Joshua Sweet,Phil Morris,Atlantis: The Lost Empire
Bambi,Alexander Gould,Bambi
Faline,Ann Gillis,Bambi
Bambi,Donnie Dunagan,Bambi
Great Prince of the Forest,Fred Shields,Bambi
Bambi,Hardie Albright,Bambi
Thumper's Mother,Margaret Lee,Bambi
Mrs. Possum,Mary Lansing,Bambi
Bambi's Mother,Paula Winslowe,Bambi
Thumper,Sam Edwards,Bambi
Flower,Sterling Holloway,Bambi
Mrs. Quail,Thelma Boardman,Bambi
Friend Owl,Will Wright,Bambi
Baker,Alex Murphey,Beauty and the Beast
Bookseller,Alvin Epstein,Beauty and the Beast
Mrs. Potts,Angela Lansbury,Beauty and the Beast
Chip Potts,Bradley Michael Pierce,Beauty and the Beast
Chef Bouche,Brian Cummings,Beauty and the Beast
Cogsworth,David Ogden Stiers,Beauty and the Beast
Sultan the Footstool,Frank Welker,Beauty and the Beast
Philippe the Horse,Hal Smith,Beauty and the Beast
LumiÇùre,Jerry Orbach,Beauty and the Beast
Le Fou,Jesse Corti,Beauty and the Beast
Armoire,Jo Anne Worley,Beauty and the Beast
Bimbette,Kath Soucie,Beauty and the Beast
Fifi the Featherduster,Kimmy Robertson,Beauty and the Beast
Babette,Mary Kay Bergman,Beauty and the Beast
Belle,Paige O'Hara,Beauty and the Beast
Maurice,Rex Everhart,Beauty and the Beast
Gaston,Richard White,Beauty and the Beast
Beast,Robby Benson,Beauty and the Beast
Monsieur D'Arque,Tony Jay,Beauty and the Beast
Tadashi Hamada,Daniel Henney,Big Hero 6
Baymax,Scott Adsit,Big Hero 6
Hiro,Ryan Potter,Big Hero 6
Fred,T.J. Miller,Big Hero 6
Go Go,Jamie Chung,Big Hero 6
Wasabi,Damon Wayans Jr,Big Hero 6
Honey Lemon,Genesis Rodriguez,Big Hero 6
Robert Callaghan,James Cromwell,Big Hero 6
Alistair Krei,Alan Tudyk,Big Hero 6
Cass,Maya Rudolph,Big Hero 6
Veteran Cat,Diedrich Bader,Bolt
The Agent,Greg Germann,Bolt
Penny's Mom,Grey DeLisle,Bolt
The Director,James Lipton,Bolt
Bolt,John Travolta,Bolt
Mindy,Kari Wahlgren,Bolt
Dr. Calico,Malcolm McDowell,Bolt
Rhino,Mark Walton,Bolt
Penny,Miley Cyrus,Bolt
Blake,Nick Swardson,Bolt
Thug,Randy Savage,Bolt
Dr. Forrester,Ronn Moss,Bolt
Mittens,Susie Essman,Bolt
King Fergus,Billy Connolly,Brave
Queen Elinor,Emma Thompson,Brave
The Witch,Julie Walters,Brave
Merida,Kelly Mcdonald,Brave
Lord Dingwall,Robbie Coltrane,Brave
Lord MacGuffin,Kevin McKidd,Brave
Lord Macintosh,Craigh Ferguson,Brave
Sitka,D. B. Sweeney,Brother Bear
Denahi,Jason Raize,Brother Bear
Koda,Jeremy Suarez,Brother Bear
Tanana,Joan Copeland,Brother Bear
Kenai,Joaquin Phoenix,Brother Bear
Tug,Michael Clarke Duncan,Brother Bear
Tuke,Dave Thomas,Brother Bear
Rutt,Rick Moranis,Brother Bear
Sally Carrera,Bonnie Hunt,Cars
Mater,Larry the Cable Guy,Cars
Lightning McQueen,Owen Wilson,Cars
Doc Hudson,Paul Newman,Cars
Luigi,Tony Shalhoub,Cars
Holley Shiftwell,Emily Mortimer,Cars 2
Francesco Bernoulli,John Turturro,Cars 2
Mater,Larry the Cable Guy,Cars 2
Finn McMissile,Michael Caine,Cars 2
Lightning McQueen,Owen Wilson,Cars 2
Foxy Loxy,Amy Sedaris,Chicken Little
Tina,Catherine O'Hara,Chicken Little
Fish Out of Water,Dan Molina,Chicken Little
Turkey Lurkey,Don Knotts,Chicken Little
Melvin,Fred Willard,Chicken Little
Buck Cluck,Garry Marshall,Chicken Little
Abby Mallard,Joan Cusack,Chicken Little
Morcupine Porcupine,Mark Dindal,Chicken Little
Goosey Loosey,Mark Walton,Chicken Little
Mr. Woolensworth,Patrick Stewart,Chicken Little
Kirby,Sean Elmore,Chicken Little
Runt of the Litter,Steve Zahn,Chicken Little
Chicken Little,Zach Braff,Chicken Little
The Doorman,Don Barclay,Cinderella
Lady Tremaine,Eleanor Audley,Cinderella
Cinderella,Ilene Woods,Cinderella
Gus Lollygagger,Jimmy MacDonald,Cinderella
